id;todaysales;total_customers_numb;custmer_total;sched_total_nex_week;total_carts;total_pending;total_payments;pending_payments;pending_number_payments;total_cars;total_trucks;total_other_1;total_other_2;latestpayments;ltstsupplierpaym;recentrlycompltd
1;28654;425;57423;13381;97074;76629;48989;23775;33451;45574;12711;64602;8149;Σαλάτα;Κατανεμημένες;Κομοτηνή Αυτοκίνητο
2;46820;11331;91053;78654;93624;48423;60378;58969;94227;10000;9636;41037;2188;bypass Υποδομή κίτρινο;κυανό HTTP;συμπίεση Διαχειριστής
3;99505;24415;76772;63389;971;7273;96599;30098;88100;75493;21790;53395;49209;Drive British πορτοκαλί;1080p Θεμελιώδη;ταχύτητα Μέταλο
4;10733;43363;98271;14882;90634;14165;11522;10257;66731;56479;95787;75471;93362;Πρακτικό;Παιχνίδια USB;1080p
5;37523;3800;73193;97252;47127;61980;72864;96255;10337;8897;44618;64165;52051;Ξύλινο;κατάθεση Oklahoma αρχιτεκτονικές;Σαλάτα Τριβές πληρωμή
6;3681;88136;68209;24052;79869;14496;85588;58064;53605;70558;9289;25811;74935;Παιχνίδια;Αναλυτής παραδώσει διεπαφή;Island Μέταλο Βιομηχανικά
7;45664;72123;15680;50297;34390;4602;39362;48052;44876;74941;76432;16054;28838;αξίας XSS New;Για Προγραμματιστής;Account
8;80446;56086;79552;70632;62610;67121;38275;94023;84921;81981;80534;71512;30781;COM Πλαστικό USB;Υπολογιστές Καλύβια up;Καταθετικός Εργονομικό πρωτοβουλίες
9;67719;40150;91241;5557;69064;7615;42080;33876;81966;15152;91480;18221;54930;parsing Account;ανοιχτή μωβ XSS;Μικρό συνεργασία τιμολόγιο
10;74000;53390;6838;56221;45635;94912;68256;87078;7295;59645;64922;44386;7712;Παραγωγός Oman;Βελτιωμένη Πρόγραμμα Australia;διεπαφή κοινότητες
